id,name,description,itemized_description
2958,Flexible Measure,"Ki +1 and ATK & DEF +150%; 
plus an additional ATK & DEF +25% for 3 turns 
after receiving an attack; plus an additional 
damage reduction of 10% per ""Movie Heroes"" 
Category ally (self excluded) attacking in the 
same turn when guard is activated; plus an additional 
ATK & DEF +25% when facing only 1 enemy; plus an 
additional DEF +50% when facing 2 or more enemies","*Basic effect(s)*
- Ki +1
- ATK & DEF 150%{passiveImg:up_g}
*After receiving an attack*
- ATK & DEF 25%{passiveImg:up_g} for 3 turn(s)
*After guard is activated*
- Damage reduction rate 10%{passiveImg:up_g} within the turn per ""Movie
Heroes"" Category ally attacking in the same turn (self
excluded)
*When facing only 1 enemy*
- ATK & DEF 25%{passiveImg:up_g}
*When facing 2 or more enemies*
- DEF 50%{passiveImg:up_g}"
2959,Flexible Strategy,"Ki +1 and ATK & DEF +200%; guards all attacks; 
plus an additional ATK & DEF +50% and 
medium chance of performing a critical hit for 
3 turns after receiving an attack; plus an additional 
damage reduction of 15% per ""Movie Heroes"" Category 
ally (self excluded) attacking in the same turn 
when guard is activated; Super Class allies' Ki +2 and 
DEF +30%, plus an additional ATK +30% for 
Super Class allies when there is an Extreme Class enemy; 
plus an additional ATK & DEF +50% when facing only 1 enemy; 
plus an additional DEF +100% when facing 2 or more enemies","*Basic effect(s)*
- Ki +1
- ATK & DEF 200%{passiveImg:up_g}
- Guards all attacks
- Super Class allies' Ki +2 and DEF 30%{passiveImg:up_g}
*After receiving an attack*
- ATK & DEF 50%{passiveImg:up_g} and medium chance of performing a
critical hit for 3 turn(s)
*After guard is activated*
- Damage reduction rate 15%{passiveImg:up_g} within the turn per ""Movie
Heroes"" Category ally attacking in the same turn (self
excluded)
*When there is an Extreme Class enemy*
- Super Class allies' ATK 30%{passiveImg:up_g}
*When facing only 1 enemy*
- ATK & DEF 50%{passiveImg:up_g}
*When facing 2 or more enemies*
- DEF 100%{passiveImg:up_g}"
2960,Pure Dream,"ATK & DEF +150%; plus an additional 
ATK +20% at start of each turn (up to 100%); 
plus an additional ATK +50% when performing 
a Super Attack; ""Peppy Gals"" Category allies' 
Ki +3 and DEF +120%; all allies' (""Peppy Gals"" 
Category allies excluded) Ki +2 and DEF +50%; 
medium chance of performing a critical hit","*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- ""Peppy Gals"" Category allies' Ki +3 and DEF 120%{passiveImg:up_g}
- All allies' Ki +2 and DEF 50%{passiveImg:up_g} (""Peppy Gals"" Category allies
excluded)
- Medium chance of performing a critical hit
*At the start of each turn*
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 100%)
*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}"
2961,Racing Heart,"ATK +330% when performing a Super Attack; 
ATK -30% for 3 turns after receiving an attack; 
Ki +2 and DEF +200% when there is an ally whose 
name includes ""Goku (Youth)"" on the team, 
plus an additional Ki +2 and DEF +100% if that ally 
is attacking in the same turn; chance of performing 
a critical hit and chance of evading enemy's attack 
(including Super Attack) +20% per ""Youth"" Category 
ally (self excluded) attacking in the same turn","*When attacking with 12 or more Ki*
- ATK 330%{passiveImg:up_g}
*After receiving an attack*
- ATK 30%{passiveImg:down_r} for 3 turn(s)
*When there is an ally whose name includes ""Goku (Youth)""
on the team*
- Ki +2 and DEF 200%{passiveImg:up_g}
- Ki +2 and DEF 100%{passiveImg:up_g} if that ally is attacking in the same
turn
*Per ""Youth"" Category ally attacking in the same turn (self
excluded)*
- Chance of performing a critical hit & chance of evading
enemy's attack 20%{passiveImg:up_g}"
2962,Innocent Request,"DEF +88%; plus an additional DEF +88% when 
performing a Super Attack; all allies' Ki +3 and ATK +40%; 
ATK & DEF +20% (up to 40%) and chance of evading 
enemy's attack (including Super Attack) +35% (up to 70%) 
per ""Peppy Gals"" Category ally on the team; Ki +3 and 
chance of performing a critical hit +18% when there is an ally 
whose name includes ""Vegeta"" (Kid, Jr., etc. excluded) 
on the team, plus an additional ATK +88% when performing 
a Super Attack if that ally is attacking in the same turn","*Basic effect(s)*
- DEF 88%{passiveImg:up_g}
- All allies' Ki +3 and ATK 40%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- DEF 88%{passiveImg:up_g}
*Per ""Peppy Gals"" Category ally on the team*
- ATK & DEF 20%{passiveImg:up_g} (up to 40%)
- Chance of evading enemy's attack 35%{passiveImg:up_g} (up to 70%)
*When there is an ally whose name includes ""Vegeta"" (Kid, Jr.,
etc. excluded) on the team*
- Ki +3 and chance of performing a critical hit 18%{passiveImg:up_g}
- ATK 88%{passiveImg:up_g} when attacking with 12 or more Ki if that ally is
attacking in the same turn"
2963,Power of Love Explodes!,"Sweet flowers bloom on the battlefield 
and the power of love explodes","- Sweet flowers bloom on the battlefield and the power of love
explodes"
2964,True Strength Hidden in an Adorable Form,"ATK & DEF +140%; plus an additional ATK & DEF +20% 
and all enemies' ATK & DEF -10% (up to 30%) per 
""Peppy Gals"" Category ally on the team; ""Peppy Gals"" 
Category allies' Ki +2 and ATK & DEF +30%; launches 
an additional attack that has a medium chance of 
becoming a Super Attack when the target enemy is 
in ""ATK Down"" or ""DEF Down"" status; launches an 
additional attack that has a medium chance of becoming 
a Super Attack when the target enemy is stunned 
or the target enemy's Super Attack is sealed","*Basic effect(s)*
- ATK & DEF 140%{passiveImg:up_g}
- ""Peppy Gals"" Category allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
*Per ""Peppy Gals"" Category ally on the team*
- ATK & DEF 20%{passiveImg:up_g}
- All enemies' ATK & DEF 10%{passiveImg:down_y} (no more than -30%)
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- Launches an additional attack that has a medium chance of
becoming a Super Attack
*When the target enemy is in the following status: {passiveImg:stun} or {passiveImg:astute}*
- Launches an additional attack that has a medium chance of
becoming a Super Attack"
2965,Mechanical Planet's Domination,"Ki +2 and ATK & DEF +150%; 
plus an additional ATK & DEF +20% 
with each attack received (up to 100%); 
plus an additional Ki +1 and chance of 
performing a critical hit +20% when there is 
a Super Class enemy; plus an additional Ki +1 and 
chance of performing a critical hit +20% when there is 
a ""Pure Saiyans"" Category enemy; recovers 10% HP 
at the end of the turn in which an attack was received; 
Core appears when conditions are met","*Basic effect(s)*
- Ki +2
- ATK & DEF 150%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} (up to 100%)
*When there is a Super Class enemy*
- Ki +1
- Chance of performing a critical hit 20%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" Category enemy*
- Ki +1
- Chance of performing a critical hit 20%{passiveImg:up_g}
*After receiving an attack*
- Recovers 10% HP at the end of turn
*When HP is 50% or less*
- {passiveImg:once}Core appears"
2966,Energy Supplied,Ki +2,"*Basic effect(s)*
- Ki +2"
2967,Nothing is Impossible,"ATK & DEF +200% and chance of performing 
a critical hit +20%; plus an additional 
ATK & DEF +50% and chance of performing 
a critical hit +20% when there is another ""Movie Heroes"" 
Category ally attacking in the same turn; Ki +2 plus an 
additional ATK & DEF +50% and chance of performing 
a critical hit +30% when HP is 80% or less; 
plus an additional Ki +2, ATK +50% and chance of 
performing a critical hit +30% when HP is 50% or less","*Basic effect(s)*
- ATK & DEF 200%{passiveImg:up_g}
- Chance of performing a critical hit 20%{passiveImg:up_g}
*When there is another ""Movie Heroes"" Category ally
attacking in the same turn*
- ATK & DEF 50%{passiveImg:up_g}
- Chance of performing a critical hit 20%{passiveImg:up_g}
*When HP is 80% or less*
- Ki +2
- ATK & DEF 50%{passiveImg:up_g}
- Chance of performing a critical hit 30%{passiveImg:up_g}
*When HP is 50% or less*
- Ki +2
- ATK 50%{passiveImg:up_g}
- Chance of performing a critical hit 30%{passiveImg:up_g}"
2968,Sure Win,"ATK & DEF +200%; randomly changes Ki Spheres 
of a certain Type (STR excluded) to STR Ki Spheres; 
plus an additional ATK & DEF +20% per Ki Sphere 
obtained; Ki +2 plus an additional ATK & DEF +50% 
and chance of performing a critical hit +20% when 
facing only 1 enemy; performs a critical hit (once only) 
and Ki +6 when facing 2 or more enemies","*Basic effect(s)*
- ATK & DEF 200%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type (STR
excluded) to STR Ki Spheres
*For every Ki Sphere obtained*
- ATK & DEF 20%{passiveImg:up_g}
*When facing only 1 enemy*
- Ki +2
- ATK & DEF 50%{passiveImg:up_g}
- Chance of performing a critical hit 20%{passiveImg:up_g}
*When facing 2 or more enemies*
- Ki +6
- {passiveImg:once}Performs a critical hit"
2969,Terror of the Revived Cooler,"Recovers 10% HP at start of turn and if HP is 50% or less, 
recovers an additional 10% HP; Ki +2 and ATK & DEF +130%; 
plus an additional DEF boost of up to 100% (the more HP 
remaining, the greater the DEF boost); plus an additional 
Ki +1 (up to +4) and ATK & DEF +15% (up to 60%) 
with each attack received; recovers 10% HP at the end of 
the turn in which an attack was received and recovers 
an additional 5% HP when there is another ally whose 
name includes ""Metal Cooler"" attacking in the same turn; 
great chance of nullifying Unarmed Super Attacks 
directed at the character; revives with HP fully recovered 
when the character is KO'd (once only)","*Basic effect(s)*
- Recovers 10% HP at the start of turn
- Ki +2
- ATK & DEF 130%{passiveImg:up_g}
*When HP is 50% or less*
- Recovers 10% HP
*The more HP remaining*
- DEF{passiveImg:up_g} (up to 100%)
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +4)
- {passiveImg:forever}ATK & DEF 15%{passiveImg:up_g} (up to 60%)
*After receiving an attack*
- Recovers 10% HP at the end of turn
*When receiving an Unarmed Super Attack*
- Great chance of nullifying it
*When there is another ally whose name includes ""Metal
Cooler"" attacking in the same turn*
- Recovers 5% HP
*When the character is KO'd*
- {passiveImg:once}Revives with HP fully recovered"
2970,You Deserve a Slow and Agonizing Death!,"ATK & DEF +130%; launches an 
additional attack that has a medium chance of 
becoming a Super Attack when the target enemy 
is in ""ATK Down"" or ""DEF Down"" status; 
""Transformation Boost"" Category allies' Ki +2 and 
ATK & DEF +50% when facing only 1 enemy; 
""Terrifying Conquerors"" Category allies' Ki +2 and 
ATK & DEF +50% when facing 2 or more enemies","*Basic effect(s)*
- ATK & DEF 130%{passiveImg:up_g}
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- Launches an additional attack that has a medium chance of
becoming a Super Attack
*When facing only 1 enemy*
- ""Transformation Boost"" Category allies' Ki +2 and ATK &
DEF 50%{passiveImg:up_g}
*When facing 2 or more enemies*
- ""Terrifying Conquerors"" Category allies' Ki +2 and ATK &
DEF 50%{passiveImg:up_g}"
2971,Conditions of Supremacy,"Ki +4 and ATK & DEF +200%; launches 
2 additional attacks, each of which has 
a medium chance of becoming a Super Attack; 
chance of performing a critical hit +10% 
per Rainbow Ki Sphere obtained; performs 
a critical hit when there is a ""Pure Saiyans"" or 
""Hybrid Saiyans"" Category enemy","*Basic effect(s)*
- Ki +4
- ATK & DEF 200%{passiveImg:up_g}
- Launches 2 additional attacks, each of which has a medium
chance of becoming a Super Attack
*For every Rainbow Ki Sphere obtained*
- Chance of performing a critical hit 10%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" or ""Hybrid Saiyans"" Category
enemy*
- Performs a critical hit"
2972,Armored Squad's Power,"ATK & DEF +40% per ""Terrifying Conquerors"" Category 
ally on the team; Ki +3 and launches 2 additional attacks, 
each of which has a medium chance of becoming 
a Super Attack, when there is an ally whose name 
includes ""Cooler"" (Cooler's Armored Squad excluded) 
on the team; medium chance of evading enemy's attack 
(including Super Attack) and medium chance of guarding 
all attacks when there is an enemy whose name includes 
""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded)","*Per ""Terrifying Conquerors"" Category ally on the team*
- ATK & DEF 40%{passiveImg:up_g}
*When there is an ally whose name includes ""Cooler"" (Cooler's
Armored Squad excluded) on the team*
- Ki +3
- Launches 2 additional attacks, each of which has a medium
chance of becoming a Super Attack
*When there is an enemy whose name includes ""Goku""
(Youth, Captain Ginyu, Jr., etc. excluded)*
- Medium chance of evading enemy's attack
- Medium chance of guarding all attacks"
2973,Extraordinary Cooperation,"Ki +2 and ATK & DEF +100%; 
reduces damage received by 10%; 
plus an additional Ki +1 per Type Ki Sphere 
obtained; launches an additional attack that has 
a high chance of becoming a Super Attack 
for 3 turns from the character's entry turn","*Basic effect(s)*
- Ki +2
- ATK & DEF 100%{passiveImg:up_g}
- Damage reduction rate 10%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained
*For 3 turn(s) from the character's entry turn*
- Launches an additional attack that has a high chance of
becoming a Super Attack"
2974,Extraordinary Teamwork,"Ki +2 and ATK & DEF +120%; 
reduces damage received by 15%; 
plus an additional Ki +1 per Type Ki Sphere 
obtained; launches an additional attack that has 
a high chance of becoming a Super Attack 
plus an additional damage reduction of 15% 
for 3 turns from the character's entry turn","*Basic effect(s)*
- Ki +2
- ATK & DEF 120%{passiveImg:up_g}
- Damage reduction rate 15%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained
*For 3 turn(s) from the character's entry turn*
- Launches an additional attack that has a high chance of
becoming a Super Attack
- Damage reduction rate 15%{passiveImg:up_g}"
2975,Extraordinary Fighters,"Ki +3 and ATK & DEF +150%; 
reduces damage received by 20%; plus an 
additional Ki +1 per Type Ki Sphere obtained; 
launches an additional attack that has 
a high chance of becoming a Super Attack 
plus an additional damage reduction of 20% for 3 turns 
from the character's entry turn; plus an additional 
ATK & DEF +50% and medium chance of performing 
a critical hit when performing an Ultra Super Attack; 
receives a morale boost when conditions are met","*Basic effect(s)*
- Ki +3
- ATK & DEF 150%{passiveImg:up_g}
- Damage reduction rate 20%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained
*For 3 turn(s) from the character's entry turn*
- Launches an additional attack that has a high chance of
becoming a Super Attack
- Damage reduction rate 20%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- ATK & DEF 50%{passiveImg:up_g}
- Medium chance of performing a critical hit
*After performing 3 or more Super Attacks and receiving 7 or
more attacks in battle*
- Receives a morale boost on the character's next attacking
turn"
2976,Roused Fighters,"Ki +2 and ATK & DEF +150%; 
reduces damage received by 30%; plus an 
additional Ki +2 per Type Ki Sphere obtained; 
launches an additional attack that has 
a great chance of becoming a Super Attack; 
plus an additional ATK & DEF +50% and 
medium chance of performing a critical hit 
when performing an Ultra Super Attack; 
performs a critical hit when activating 
the Active Skill or when Ki is 24","*Basic effect(s)*
- Ki +2
- ATK & DEF 150%{passiveImg:up_g}
- Damage reduction rate 30%{passiveImg:up_g}
- Receives an additional Ki +2 per Type Ki Sphere obtained
- Launches an additional attack that has a great chance of
becoming a Super Attack
*When attacking with 18 or more Ki*
- ATK & DEF 50%{passiveImg:up_g}
- Medium chance of performing a critical hit
*When activating the Active Skill or when attacking with 24
Ki*
- Performs a critical hit"
