id,name,itemized_description
3980,The Androids' True Might,"*Basic effect(s)*
- Ki +3 and ATK & DEF 178%{passiveImg:up_g}
- Medium chance of evading enemy's attack
- ""Androids"" Category allies' Ki +2 and ATK & DEF 50%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 78%{passiveImg:up_g}
*When HP is 66% or more*
- Ki +3
- Chance of evading enemy's attack 20%{passiveImg:up_g}
*After evading an attack*
- DEF 35%{passiveImg:up_g} within the turn
- Launches an additional attack that has a high chance of
becoming a Super Attack for 3 turn(s)"
3981,Mysterious Power Revealed,"*Basic effect(s)*
- Ki +8 and ATK & DEF 240%{passiveImg:up_g}
- High chance of performing a critical hit
*When attacking with 12 or more Ki*
- ATK & DEF 160%{passiveImg:up_g}
*When HP is 66% or less, or when there is an enemy whose
name includes ""Cell"" (characters such as Cell Jr. excluded)*
- Performs a critical hit
*When there is an ""Androids/Cell Saga"" Category enemy, or
when all allies attacking in the same turn are ""Androids""
Category characters*
- Launches an additional Super Attack"
3982,Super Saiyans Ready to Fight,"*Basic effect(s)*
- Ki +2 and ATK & DEF 120%{passiveImg:up_g}
*When attacking*
- ATK & DEF 50%{passiveImg:up_g}
*When there is another ""Super Saiyans"" or ""Movie Heroes""
Category ally attacking in the same turn*
- Randomly changes Ki Spheres of a certain Type (INT
excluded) to INT Ki Spheres
*3 or more Ki Spheres obtained*
- Launches an additional attack that has a medium chance of
becoming a Super Attack"
3983,Super Saiyans Counterattack,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
*When attacking*
- ATK & DEF 90%{passiveImg:up_g}
*When there is another ""Super Saiyans"" or ""Movie Heroes""
Category ally attacking in the same turn*
- Randomly changes Ki Spheres of a certain Type (INT
excluded) to INT Ki Spheres
*For every 3 Ki Spheres obtained*
- Launches an additional attack that has a medium chance of
becoming a Super Attack (up to 2 times within a turn)"
3984,Three Super Saiyans,"*Activates the Entrance Animation when another 2 or more
""Super Saiyans"" or ""Movie Heroes"" Category allies are on the
team*
- {passiveImg:once}Attacks are effective against all Types for 5 turn(s)
- {passiveImg:once}Damage reduction rate 30%{passiveImg:up_g} for 5 turn(s)
*Basic effect(s)*
- Ki +3 and ATK & DEF 180%{passiveImg:up_g}
- Receives an additional Ki +3 per INT Ki Sphere obtained
*When attacking*
- ATK & DEF 130%{passiveImg:up_g}
*When there is another ""Super Saiyans"" or ""Movie Heroes""
Category ally attacking in the same turn*
- Randomly changes Ki Spheres of a certain Type (INT
excluded) to INT Ki Spheres
*For every 3 Ki Spheres obtained*
- Launches an additional attack that has a high chance of
becoming a Super Attack (up to 3 times within a turn)"
3985,Inklings of Dragon Ki,"*Basic effect(s)*
- Ki +2 and ATK & DEF 120%{passiveImg:up_g}
- Medium chance of performing a critical hit
- Medium chance of evading enemy's attack
*When attacking with 12 or more Ki*
- ATK & DEF 60%{passiveImg:up_g}
*When HP is 59% or less*
- ATK 59%{passiveImg:up_g}
- Chance of performing a critical hit 30%{passiveImg:up_g}"
3986,Rumblings of Dragon Ki,"*Basic effect(s)*
- Ki +3 and ATK & DEF 200%{passiveImg:up_g}
- Medium chance of performing a critical hit
- High chance of evading enemy's attack
*When attacking with 12 or more Ki*
- ATK & DEF 150%{passiveImg:up_g}
*As the 2nd or 3rd attacker in a turn*
- ATK & DEF 159%{passiveImg:up_g}
- Chance of performing a critical hit 20%{passiveImg:up_g}
- Chance of evading enemy's attack 20%{passiveImg:up_g}
*When HP is 59% or less*
- ATK 159%{passiveImg:up_g}
- Chance of performing a critical hit 50%{passiveImg:up_g}
*When receiving an Unarmed Super Attack*
- Great chance of nullifying it"
3987,Roar of a Dragon,"*When the Finish Effect is not activated*
- Unable to attack
*Basic effect(s)*
- ATK & DEF 333%{passiveImg:up_g}
- All allies' Ki +3 and DEF 59%{passiveImg:up_g}
- Foresees enemy's Super Attack
- Great chance of evading enemy's attack
*For 1 turn from the character's entry turn*
- ATK 159%{passiveImg:up_g}
*When HP is 59% or less*
- Chance of evading enemy's attack 20%{passiveImg:up_g}
*When the Finish Effect is activated*
- ATK 333%{passiveImg:up_g}
- Evades enemy's attack within the turn"
3988,Mythical Monster,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- High chance of evading enemy's attack
*When attacking*
- ATK 80%{passiveImg:up_g}
*After evading an attack*
- Launches an additional attack that has a high chance of
becoming a Super Attack"
3989,Malicious-Staring Monster,"*Activates the Entrance Animation upon the character's
entry*
- {passiveImg:once}Ki +3 and ATK & DEF 100%{passiveImg:up_g} for 5 turn(s)
- {passiveImg:once}High chance of performing a critical hit for 5 turn(s)
*Basic effect(s)*
- ATK & DEF 200%{passiveImg:up_g}
- Great chance of evading enemy's attack
*When attacking*
- ATK 100%{passiveImg:up_g}
*After evading an attack*
- Launches an additional attack that has a great chance of
becoming a Super Attack
*For every attack evaded*
- {passiveImg:forever}DEF 10%{passiveImg:up_g} (up to 50%)"
3990,Fully Emerged,"*Basic effect(s)*
- Ki +3 and ATK & DEF 250%{passiveImg:up_g}
- Launches an additional attack that has a great chance of
becoming a Super Attack
- Great chance of evading enemy's attack
*When attacking*
- ATK 150%{passiveImg:up_g}
*As the 1st attacker in a turn*
- ATK & DEF 100%{passiveImg:up_g}
- High chance of performing a critical hit
*After evading an attack*
- Launches an additional attack that has a high chance of
becoming a Super Attack
*For every attack evaded*
- Chance of performing a critical hit & chance of evading
enemy's attack 10%{passiveImg:up_g} within the turn
*Every time the character evades 3 or more attacks in battle*
- Evades enemy's attack within the character's next attacking
turn"
3991,Long-Lasting Linked State,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
- ""Androids"" Category allies' Ki +1 and ATK & DEF 20%{passiveImg:up_g}, plus
an additional DEF 10%{passiveImg:up_g} for characters who also belong to
the ""Crossover"" Category
*For every turn passed*
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} (up to 80%)
*When attacking with 12 or more Ki*
- ATK & DEF 40%{passiveImg:up_g}
*When there is another ""Androids"" or ""Crossover"" Category
ally attacking in the same turn or an ""Androids"" or
""Crossover"" Category enemy*
- ATK & DEF 80%{passiveImg:up_g}"
3992,Rising Linking Rate,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- ""Androids"" Category allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g}, plus
an additional Ki +1 and DEF 20%{passiveImg:up_g} for characters who also
belong to the ""Crossover"" Category
*For every turn passed*
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} (up to 100%)
*When attacking with 12 or more Ki*
- ATK & DEF 50%{passiveImg:up_g}
*When there is another ""Androids"" or ""Crossover"" Category
ally attacking in the same turn or an ""Androids"" or
""Crossover"" Category enemy*
- ATK & DEF 100%{passiveImg:up_g}
*When HP is 80% or less at the start of turn starting from the
3rd turn from the character's entry turn*
- {passiveImg:once}Recovers 18% HP at the start of the character's
attacking turn, Ki +2 and ATK 180%{passiveImg:up_g} for 5 turn(s)"
3993,Hero's Conviction,"*Basic effect(s)*
- ATK & DEF 160%{passiveImg:up_g}
- Medium chance of performing a critical hit
- Changes Ki Spheres: STR to Rainbow
- ""Movie Heroes"" Category allies' ATK & DEF 40%{passiveImg:up_g}
*When there is a ""Movie Bosses"" Category enemy*
- ATK & DEF 80%{passiveImg:up_g}
- Performs a critical hit
*With a Rainbow Ki Sphere obtained*
- Chance of evading enemy's attack 30%{passiveImg:up_g}
- ""Movie Heroes"" Category allies' Ki +2 and chance of
performing a critical hit 20%{passiveImg:up_g}
*2 or more Rainbow Ki Spheres obtained*
- Chance of evading enemy's attack 10%{passiveImg:up_g} per Rainbow
Ki Sphere obtained (count starts from the 2nd Ki Sphere)
*3 or more Ki Spheres obtained*
- ATK & DEF 80%{passiveImg:up_g} when attacking"
3994,Promise Made to the Hero,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Medium chance of performing a critical hit
*When attacking with 12 or more Ki*
- ATK & DEF 70%{passiveImg:up_g}
*Per ""Movie Heroes"" Category ally on the team*
- ATK & DEF 10%{passiveImg:up_g}
*When there is an ally whose name includes ""Tapion"" on the
team, or when there is a ""Movie Bosses"" Category enemy*
- Ki +2
- All allies' DEF 30%{passiveImg:up_g}
- Attacked enemy's ATK 25%{passiveImg:down_y} for 2 turn(s)"
3995,Promise Made to the Hero,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- Medium chance of performing a critical hit
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*Per ""Movie Heroes"" Category ally on the team*
- ATK & DEF 15%{passiveImg:up_g}
*When there is an ally whose name includes ""Tapion"" on the
team, or when there is a ""Movie Bosses"" Category enemy*
- Ki +2
- All allies' DEF 40%{passiveImg:up_g}
- Attacked enemy's ATK 30%{passiveImg:down_y} for 2 turns
*When there is an ally whose name includes ""Tapion""
attacking in the same turn, or when there is a ""Movie Bosses""
Category enemy*
- Ki +2
- All allies' ATK 40%{passiveImg:up_g}
- Attacked enemy's DEF 30%{passiveImg:down_y} for 2 turns"
3996,Heavy Punishment for the Unsightly,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
*Per ""Super Bosses"" Category ally on the team*
- Damage reduction rate 5%{passiveImg:up_g} (up to 20%)
*After receiving an attack*
- ""Super Bosses"" Category allies' Ki +1"
3997,You Shall Die in Vain!,"*Basic effect(s)*
- Ki +2 and ATK & DEF 200%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
*For 1 turn from the character's entry turn*
- Guards all attacks
*Per ""Super Bosses"" Category ally on the team*
- Damage reduction rate 6%{passiveImg:up_g} (up to 30%)
*Before attacking*
- Damage reduction rate 30%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- Launches an additional attack
*Every time the character performs 5 or more attacks in
battle*
- Launches an additional Super Attack (up to once within a
turn)
*Every time the character performs 10 or more attacks in
battle*
- Launches an additional Super Attack (up to once within a
turn)
*For every attack performed*
- ATK & DEF 30%{passiveImg:up_g} within the turn
*After receiving an attack*
- ""Super Bosses"" Category allies' Ki +2
*When receiving a Ki Blast Super Attack*
- Great chance of nullifying it"
3998,Wrath That Tears Through Space and Time,"*Basic effect(s)*
- Ki +2 and ATK & DEF 222%{passiveImg:up_g}
- Attacks are effective against all Types
- Launches an additional attack that has a great chance of
becoming a Super Attack
- Randomly changes Ki Spheres of a certain Type (PHY
excluded) to Rainbow Ki Spheres
*Before attacking*
- Damage reduction rate 66%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- Launches an additional attack that has a rare chance of
becoming a Super Attack
*Every time the character performs 5 or more attacks in
battle*
- Launches an additional Super Attack (up to once within a
turn)
*Every time the character performs 10 or more attacks in
battle*
- Launches an additional Super Attack (up to once within a
turn)
*For every attack performed*
- ATK & DEF 33%{passiveImg:up_g} within the turn"
3999,Power of Animosity,"*Basic effect(s)*
- ATK & DEF 130%{passiveImg:up_g}
- ""Androids"" or ""Target: Goku"" Category allies' Ki +3 and ATK
& DEF 30%{passiveImg:up_g}
- Attacks guaranteed to hit
*When HP is 30% or more*
- ATK & DEF 130%{passiveImg:up_g}
*When there is an enemy whose name includes ""Goku""
(Youth, Captain Ginyu, Jr., etc. excluded)*
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When another 2 or more ""Androids"" Category allies are on
the team starting from the 5th turn from the start of battle*
- Transforms"
4000,Power of Animosity,"*Basic effect(s)*
- ATK & DEF 130%{passiveImg:up_g}
- ""Androids"" or ""Target: Goku"" Category allies' Ki +3 and ATK
& DEF 30%{passiveImg:up_g}
- Attacks guaranteed to hit
*When HP is 30% or more*
- ATK & DEF 130%{passiveImg:up_g}
*When there is an enemy whose name includes ""Goku""
(Youth, Captain Ginyu, Jr., etc. excluded)*
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When another 2 or more ""Androids"" Category allies are on
the team starting from the 5th turn from the start of battle*
- Transforms"
4001,A Serious Game,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- High chance of launching an additional Super Attack
*The more HP remaining*
- DEF{passiveImg:up_g} (up to 120%)
*Per existing enemy*
- Ki +2 and ATK 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 50%{passiveImg:up_g}
*When HP is 40% or less*
- Evolves"
4002,A Serious Game,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- High chance of launching an additional Super Attack
*The more HP remaining*
- DEF{passiveImg:up_g} (up to 120%)
*Per existing enemy*
- Ki +2 and ATK 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 50%{passiveImg:up_g}
*When HP is 40% or less*
- Evolves"
4003,Certain Triumph,"*Basic effect(s)*
- ATK 59%{passiveImg:up_g}
- DEF 200%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 120%{passiveImg:up_g}
*Before attacking with 18 or more Ki*
- Damage reduction rate 50%{passiveImg:up_g} within the turn
*When attacking with 18 or more Ki*
- ATK 200%{passiveImg:up_g}
- {passiveImg:once}Interrupts the attacked enemy
*For every Super Attack performed*
- {passiveImg:forever}Ki +2 (up to +6) and ATK 20%{passiveImg:up_g} (up to 59%)
*When HP is 59% or less and facing only 1 enemy starting from
the 6th turn from the character's entry turn*
- Ki +7 and ATK 59%{passiveImg:up_g}
- {passiveImg:once}Performs a critical hit"
4004,Turn in Tides of Battle,"*Basic effect(s)*
- ATK & DEF 177%{passiveImg:up_g}
*For 7 turn(s) from the character's entry turn*
- Ki +4
- Great chance of evading enemy's attack
*Starting from the 8th turn from the character's entry turn*
- High chance of evading enemy's attack
*Per ""Representatives of Universe 7"" Category ally attacking
in the same turn (self excluded)*
- Chance of evading enemy's attack 7%{passiveImg:up_g} within the turn
before receiving an attack
*After evading an attack*
- {passiveImg:forever}DEF 77%{passiveImg:up_g}
*After evading an attack as the 1st attacker in a turn*
- {passiveImg:forever}ATK 77%{passiveImg:up_g}
*For every attack evaded*
- {passiveImg:forever}Ki +1 (up to +7)
- {passiveImg:forever}ATK & DEF 11%{passiveImg:up_g} (up to 77%)
- {passiveImg:forever}Chance of performing a critical hit 11%{passiveImg:up_g} (up to 77%)"
4005,Fight for Friends,"*Basic effect(s)*
- Receives an additional Ki +2 per Ki Sphere obtained
- High chance of evading enemy's attack
*For every Ki Sphere obtained*
- ATK & DEF 30%{passiveImg:up_g}
*For every PHY Ki Sphere obtained*
- ATK & DEF 10%{passiveImg:up_g}
*With an AGL or STR Ki Sphere obtained*
- All allies' Ki +2 and ATK 39%{passiveImg:up_g}
*With a TEQ or INT Ki Sphere obtained*
- All allies' Ki +2 and DEF 39%{passiveImg:up_g}
*With a Rainbow Ki Sphere obtained*
- All allies' Ki +2 and ATK & DEF 15%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 39%{passiveImg:up_g}
*When attacking with 24 Ki*
- Launches an additional Super Attack
- ""Movie Bosses"" or ""Super Bosses"" Category allies' damage
reduction rate 10%{passiveImg:up_g}
*7 or more Ki Spheres obtained*
- Evades enemy's attack
*When HP is 60% or less*
- Randomly changes Ki Spheres of a certain Type (PHY
excluded) to PHY Ki Spheres
*When HP is 39% or less*
- {passiveImg:once}Changes Ki Spheres: All to PHY"
4006,Escalating Battle,"*Basic effect(s)*
- ATK & DEF 130%{passiveImg:up_g}
- Guards all attacks
*When attacking with 12 or more Ki*
- ATK 30%{passiveImg:up_g}
*As the 1st or 2nd attacker in a turn*
- Ki +1
- High chance of launching an additional Super Attack
*As the 3rd attacker in a turn*
- Ki +3
- Launches an additional Super Attack"
4007,Escalating Rage,"*Basic effect(s)*
- ATK & DEF 140%{passiveImg:up_g}
- Guards all attacks
*When attacking with 12 or more Ki*
- ATK 40%{passiveImg:up_g}
*As the 1st or 2nd attacker in a turn*
- Ki +2
- High chance of launching an additional Super Attack
*As the 3rd attacker in a turn*
- Ki +4
- Launches an additional Super Attack"
4008,Escalating Power Level,"*Activates the Entrance Animation upon the character's
entry*
- {passiveImg:once}Ki +5 and ATK & DEF 100%{passiveImg:up_g} for 4 turn(s)
- {passiveImg:once}Launches an additional Super Attack for 4 turn(s)
*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- Guards all attacks
- Receives an additional Ki +1 per Ki Sphere obtained
*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- DEF 50%{passiveImg:up_g}
*As the 1st or 2nd attacker in a turn*
- Ki +2
- Launches an additional Super Attack
*As the 3rd attacker in a turn*
- Ki +6
- Launches an additional Super Attack and high chance of
launching another additional Super Attack"
